kanji,strokes_new,strokes_old,element,readings,notes
亜,,,,,
哀,,,,,
愛,,,,,
悪,,,,,
握,,,,,
圧,,,,,
安,,,,,
案,,,,,
暗,,,,,
以,,,,,
衣,,,,,
位,,,,,
囲,,,,,
医,,,,,
依,,,,,
委,,,,,
威,,,,,
胃,,,,,
為,,,,,
尉,,,,,
異,,,,,
移,,,,,
偉,,,,,
意,,,,,
違,,,,,
維,,,,,
慰,,,,,
遺,,,,,
緯,,,,,
域,,,,,
育,,,,,
一,,,,,
壱,,,,,
逸,,,,,
芋,,,,,
引,,,,,
印,,,,,
因,,,,,
姻,,,,,
員,,,,,
院,,,,,
陰,,,,,
飲,,,,,
隠,,,,,
韻,,,,,
右,,,,,
宇,,,,,
羽,,,,,
雨,,,,,
運,,,,,
雲,,,,,
永,,,,,
泳,,,,,
英,,,,,
映,,,,,
栄,,,,,
営,,,,,
詠,,,,,
影,,,,,
鋭,,,,,
衛,,,,,
易,,,,,
疫,,,,,
益,,,,,
液,,,,,
駅,,,,,
悦,,,,,
越,,,,,
謁,,,,,
閲,,,,,
円,,,,,
延,,,,,
沿,,,,,
炎,,,,,
宴,,,,,
援,,,,,
園,,,,,
煙,,,,,
猿,,,,,
遠,,,,,
鉛,,,,,
塩,,,,,
演,,,,,
縁,,,,,
汚,,,,,
王,,,,,
凹,,,,,
央,,,,,
応,,,,,
往,,,,,
押,,,,,
欧,,,,,
殴,,,,,
桜,,,,,
翁,,,,,
奥,,,,,
横,,,,,
屋,,,,,
億,,,,,
憶,,,,,
虞,,,,,
乙,,,,,
卸,,,,,
音,,,,,
恩,,,,,
温,,,,,
穏,,,,,
下,,,,,
化,,,,,
火,,,,,
加,,,,,
可,,,,,
仮,,,,,
何,,,,,
花,,,,,
佳,,,,,
価,,,,,
果,,,,,
河,,,,,
科,,,,,
架,,,,,
夏,,,,,
家,,,,,
荷,,,,,
華,,,,,
菓,,,,,
貨,,,,,
渦,,,,,
過,,,,,
嫁,,,,,
暇,,,,,
禍,,,,,
靴,,,,,
寡,,,,,
歌,,,,,
箇,,,,,
稼,,,,,
課,,,,,
蚊,,,,,
我,,,,,
画,,,,,
芽,,,,,
賀,,,,,
雅,,,,,
餓,,,,,
介,,,,,
回,,,,,
灰,,,,,
会,,,,,
快,,,,,
戒,,,,,
改,,,,,
怪,,,,,
拐,,,,,
悔,,,,,
海,,,,,
界,,,,,
皆,,,,,
械,,,,,
絵,,,,,
開,,,,,
階,,,,,
解,,,,,
塊,,,,,
壊,,,,,
懐,,,,,
貝,,,,,
外,,,,,
劾,,,,,
害,,,,,
涯,,,,,
街,,,,,
慨,,,,,
該,,,,,
概,,,,,
垣,,,,,
各,,,,,
角,,,,,
拡,,,,,
革,,,,,
格,,,,,
核,,,,,
殻,,,,,
郭,,,,,
覚,,,,,
較,,,,,
隔,,,,,
閣,,,,,
確,,,,,
獲,,,,,
嚇,,,,,
穫,,,,,
学,,,,,
岳,,,,,
楽,,,,,
額,,,,,
掛,,,,,
潟,,,,,
括,,,,,
活,,,,,
喝,,,,,
渇,,,,,
割,,,,,
滑,,,,,
褐,,,,,
轄,,,,,
且,,,,,
株,,,,,
刈,,,,,
干,,,,,
刊,,,,,
甘,,,,,
汗,,,,,
缶,,,,,
完,,,,,
肝,,,,,
官,,,,,
冠,,,,,
巻,,,,,
看,,,,,
陥,,,,,
乾,,,,,
勘,,,,,
患,,,,,
貫,,,,,
寒,,,,,
喚,,,,,
堪,,,,,
換,,,,,
敢,,,,,
棺,,,,,
款,,,,,
間,,,,,
閑,,,,,
勧,,,,,
寛,,,,,
幹,,,,,
感,,,,,
漢,,,,,
慣,,,,,
管,,,,,
関,,,,,
歓,,,,,
監,,,,,
緩,,,,,
憾,,,,,
還,,,,,
館,,,,,
環,,,,,
簡,,,,,
観,,,,,
艦,,,,,
鑑,,,,,
