radical,strokes_custom,aliases
さんずい,4,氵|水
くさかんむり,3,艹|艸
にんべん,2,亻
てへん,4,扌
ぎょうにんべん,3,彳
こざとへん,3,阝(左)
おおざと,3,阝(右)
いとへん,6,糹|糸
きへん,4,木
ひへん,4,日
つちへん,3,土
あめかんむり,8,雨
かねへん,8,釒|金
いしへん,5,石
たまへん,5,王|玉|⺩
しょくへん,9,飠|食
りっしんべん,4,忄
やまいだれ,5,疒
ころもへん,6,衤
しめすへん,4,礻
