char,radical
海,さんずい
河,さんずい
湖,さんずい
清,さんずい
源,さんずい
洋,さんずい
理,たまへん
環,たまへん
璃,たまへん
瑠,たまへん
瑚,たまへん
珍,たまへん
現,たまへん
球,たまへん
珠,たまへん
瑛,たまへん
郎,おおざと
